"_col0","popularity"
"https://archive.softwareheritage.org/browse/snapshot/e29591c69da876397e047079a1da6a2a39624742","3660"
"https://archive.softwareheritage.org/browse/snapshot/bed74490e235648c65bb48e51eb95186a6c7f20e","3659"
"https://archive.softwareheritage.org/browse/snapshot/70c4b5a4ce6c9f607ec768d56f46997a0a91174d","3650"
"https://archive.softwareheritage.org/browse/snapshot/9e281183590ace4c474141e1c5017ad15aeb23d3","3601"
"https://archive.softwareheritage.org/browse/snapshot/de9cfaba108659e9b125c6e963ae259719c80444","3593"
"https://archive.softwareheritage.org/browse/snapshot/2a2908f70ee59ef45677bc97ceb8b706d4693070","3567"
"https://archive.softwareheritage.org/browse/snapshot/5bd9229e18661852babdad0970092e0f6f61b82a","3469"
"https://archive.softwareheritage.org/browse/snapshot/f8497a510e2729bfd0c494db8f55eda8105cc9d0","3445"
"https://archive.softwareheritage.org/browse/snapshot/1c1f9f474348a3bcd98803569256030009dca53e","3392"
"https://archive.softwareheritage.org/browse/snapshot/30f07c329f4725d2574846edb14deb42b24a8b33","3384"
"https://archive.softwareheritage.org/browse/snapshot/4e15e2ece286a37defddfc349401ee3907b1a134","3381"
"https://archive.softwareheritage.org/browse/snapshot/e7d3f36b70c48d3d68a86128b1780cf1023dedb7","3320"
"https://archive.softwareheritage.org/browse/snapshot/6e54a6115955383e5fb2b5d4bfc6666c575c2963","3319"
"https://archive.softwareheritage.org/browse/snapshot/ed22c5f9c1e30e48ae46deda9daabc643df87d7e","3298"
"https://archive.softwareheritage.org/browse/snapshot/7b1406c31037f68209597f05b104a3b2495a09e3","3274"
"https://archive.softwareheritage.org/browse/snapshot/94baeffa785455e76a6616d4ab14db2266fdbc21","3258"
"https://archive.softwareheritage.org/browse/snapshot/be63e711e16283d04cf966107a4331d49e29b828","3226"
"https://archive.softwareheritage.org/browse/snapshot/6fb02c417c93c7fa8b70b77c9f31a162d7c47ea5","3202"
"https://archive.softwareheritage.org/browse/snapshot/976282c79e04b330c49a86588324a75565d66d8a","3194"
"https://archive.softwareheritage.org/browse/snapshot/5a7a1f52c49406debeb2b7cb4416411449a45ef3","3186"
"https://archive.softwareheritage.org/browse/snapshot/7ace4e15948a342cccbd4bf3181ad1dac1ac0103","3176"
"https://archive.softwareheritage.org/browse/snapshot/dcf4d0e99848d497200ec76c404f88dde14aeff7","3165"
"https://archive.softwareheritage.org/browse/snapshot/8f14930314a86f1707209c723d60df7c76876f57","3162"
"https://archive.softwareheritage.org/browse/snapshot/3388d01f2a3b9d4fe4db71b83d679d65981e1a4c","3160"
"https://archive.softwareheritage.org/browse/snapshot/f6772d7d93eb571dde4be6c48412ff4b857e7f6c","3150"
"https://archive.softwareheritage.org/browse/snapshot/f48c72b68e68fac3a95e8b716c5e6157dae6cf4f","3141"
"https://archive.softwareheritage.org/browse/snapshot/d8c0cee761ef9bbba331b7a547ceb90d5f52dd6e","3096"
"https://archive.softwareheritage.org/browse/snapshot/ca2d5379a3a3071fa2e465402f4ca5d9a46d162f","3094"
"https://archive.softwareheritage.org/browse/snapshot/dc1fcdf5f33adb3e0b5093fd2db7d71ccc003675","3063"
"https://archive.softwareheritage.org/browse/snapshot/552789607936ad4ac633e4c67b0246ce3e7378bb","3059"
"https://archive.softwareheritage.org/browse/snapshot/8203460257582323182203b29abfa08743a120b7","3049"
"https://archive.softwareheritage.org/browse/snapshot/663fc5ab383ab55e1a638baa1837e46c65ed1f74","3030"
"https://archive.softwareheritage.org/browse/snapshot/0155825c59d3bd58f5bb897f1b451169d78de7b2","3019"
"https://archive.softwareheritage.org/browse/snapshot/d68da3205a5cb3922b17aacf74d80d73df2ab9a8","3017"
"https://archive.softwareheritage.org/browse/snapshot/a10928b4d77b84e5fb0df1ad9784d928761d0de6","3015"
"https://archive.softwareheritage.org/browse/snapshot/946a8d6f58be46d1c62581f6476bfd54e0d757ed","3007"
"https://archive.softwareheritage.org/browse/snapshot/cb5bd326c5819485188421b4ddb37a83fac67d74","2920"
"https://archive.softwareheritage.org/browse/snapshot/103491ba314e6871e17b918050840bbf787793e0","2877"
"https://archive.softwareheritage.org/browse/snapshot/7f960720212db78e2581cdd0762cfaa6cd5bbd5a","2866"
"https://archive.softwareheritage.org/browse/snapshot/b6ec64029e06c4a071ea0d4d9b5aae8a457a0baa","2855"
"https://archive.softwareheritage.org/browse/snapshot/35e2a721c187b0bcc19084c995f487b09c2e009b","2827"
"https://archive.softwareheritage.org/browse/snapshot/5bbab8f946f757157c450f31c692798bd834a56f","2820"
